janko	161688	375124
janko	73260	237583
Gracz	73150	248909
Gracz	62798	275199
Gracz	52158	206402
Gracz	50489	197885
Gracz	43959	204363
nazwa	33377	195066
Gracz	27720	180840
Gracz	10896	137468
janek	2422	36561
Gracz	1836	29970
nazwa	1308	29547
nazwa	1010	29145
UwU:3	958	19021
Gracz	316	1826
janek	312	2976
Gracz	278	1318
Gracz	276	1862
Gracz	276	1357
Gracz	276	1344
Gracz	276	1188
Gracz	276	1940
Gracz	276	1829
Gracz	276	2033
nazwa	274	1679
Gracz	238	984
nazwa	238	1004
Gracz	236	1961
Gracz	236	1161
Gracz	65	60443
